All KeypointsAKAZE,Preceding Vehicle Keypoints,Detection Time,Extraction Time,# Matches
1351,162,112.772672,2.052540,134
1327,157,101.425224,1.977422,124
1311,159,105.044915,3.020569,129
1351,154,109.437487,2.800392,128
1360,162,107.460537,2.038906,130
1347,163,103.328820,2.062255,132
1363,173,98.294732,2.129054,142
1331,175,99.022344,2.146198,144
1357,175,101.308446,2.188392,141
1331,175,110.112074,2.097429,137
1351,162,108.867119,0.908693,133
1327,157,102.043360,0.868928,130
1311,159,98.387324,0.930873,130
1351,154,97.635529,0.852921,134
1360,162,99.310947,0.961582,146
1347,163,108.354727,0.863778,150
1363,173,109.238795,0.950092,147
1331,175,109.449804,0.893667,150
1357,175,97.018794,0.904641,128
1331,175,111.475704,0.954848,128
1351,162,111.542556,3.149325,126
1327,157,102.331748,3.142787,118
1311,159,107.861099,3.297066,129
1351,154,108.362148,3.073433,131
1360,162,110.189157,3.087173,136
1347,163,113.465371,3.130724,136
1363,173,112.560811,3.087803,143
1331,175,113.445859,3.364852,123
1357,175,107.349822,3.165387,128
1331,175,112.618068,3.044122,128
1351,162,116.761562,49.127270,121
1327,157,103.980612,49.750037,122
1311,159,108.505399,49.911246,133
1351,154,107.393042,48.974299,144
1360,162,105.773263,48.839310,145
1347,163,107.107171,51.856415,135
1363,173,109.729026,50.161079,135
1331,175,111.213154,49.734340,138
1357,175,107.288764,49.478163,132
1331,175,109.765678,49.813587,126
1351,162,111.079086,90.761843,128
1327,157,97.833242,87.841407,146
1311,159,104.249816,87.924250,147
1351,154,94.215614,91.340800,149
1360,162,97.779611,86.718918,148
1347,163,102.532634,85.937851,132
1363,173,103.390415,89.414237,134
1331,175,100.199884,86.687860,129
1357,175,103.041315,88.196132,136
1331,175,99.971757,88.362571,136
1351,162,111.794675,34.517942,147
1327,157,101.823632,32.721193,147
1311,159,93.656151,35.014130,153
1351,154,96.979272,32.805365,149
1360,162,97.514132,33.313056,129
1347,163,95.141884,38.095073,0
1363,173,106.643955,42.476142,21020224
1331,175,106.322249,42.002743,0
1357,175,95.816110,35.771878,21972144
1331,175,95.540126,35.534066,0
