All KeypointsBRISK,Preceding Vehicle Keypoints,Detection Time,Extraction Time,# Matches
2763,256,436.808350,3.295493,167
2781,272,434.719469,3.326059,169
2746,277,429.583623,3.701185,154
2738,274,425.148396,3.360793,168
2755,291,428.370281,3.600382,170
2700,275,431.285583,3.365894,185
2715,289,426.061056,3.547580,172
2627,269,427.660045,3.441170,168
2641,258,428.008925,3.226439,184
2680,251,429.108165,3.149708,178
2763,256,430.258698,1.185345,195
2781,272,429.599114,1.229411,181
2746,277,435.744017,1.266343,173
2738,274,433.726170,1.235453,175
2755,291,431.053422,1.430269,196
2700,275,427.454551,1.150019,212
2715,289,428.012877,1.302149,187
2627,269,423.522911,1.161605,176
2641,258,426.067144,1.204542,153
2680,251,425.457041,1.157231,164
2763,256,427.110137,5.210514,150
2781,272,431.663656,5.713227,160
2746,277,431.096320,5.841140,153
2738,274,428.308767,5.672494,179
2755,291,420.983294,6.274875,166
2700,275,421.836980,5.743948,172
2715,289,429.817697,5.854878,171
2627,269,427.593409,5.851123,154
2641,258,426.909437,5.729746,174
2680,251,430.163446,5.697009,153
2763,256,426.482914,51.986980,168
2781,272,430.065339,50.753894,158
2746,277,428.536358,49.643207,181
2738,274,432.846925,52.846332,169
2755,291,429.530393,49.300705,174
2700,275,430.195314,48.652516,165
2715,289,423.107810,49.021701,178
2627,269,431.677163,48.521599,183
2641,258,429.032708,50.570430,169
2680,251,430.046159,49.981870,177
2763,256,430.634852,68.247357,167
2781,272,435.025220,63.105328,189
2746,277,435.090069,62.310227,192
2738,274,432.173368,65.819019,171
2755,291,431.145915,65.826850,180
2700,275,429.467342,63.487407,0
2715,289,431.152476,65.924585,20557536
2627,269,424.849776,61.794250,0
2641,258,428.527955,62.942356,64
2680,251,429.919713,60.024341,0
