All KeypointsFAST,Preceding Vehicle Keypoints,Detection Time,Extraction Time,# Matches
5063,407,2.159126,5.594062,251
4952,415,1.915587,4.962367,234
4863,389,1.972688,4.369727,238
4840,413,1.899455,4.622050,235
4856,371,1.882057,4.153179,207
4899,396,1.723033,4.366802,243
4870,407,1.946659,4.647433,242
4868,393,1.920546,4.445205,239
4996,386,1.929261,4.376487,241
4997,389,1.964144,4.393613,310
5063,407,1.966521,1.829215,323
4952,415,2.385920,1.742691,290
4863,389,1.868480,1.580346,326
4840,413,1.891157,1.729052,265
4856,371,1.950821,1.629920,314
4899,396,1.905475,1.672218,312
4870,407,1.941038,1.672118,309
4868,393,1.926415,2.388444,299
4996,386,1.988879,1.662209,297
4997,389,2.529038,1.581631,300
5063,407,1.929843,1.504877,291
4952,415,1.979587,1.531698,312
4863,389,1.903223,1.563463,272
4840,413,1.961410,1.478369,301
4856,371,2.350614,1.423400,313
4899,396,1.905039,1.451845,293
4870,407,1.932415,1.456332,299
4868,393,1.929776,1.820109,243
4996,386,2.000463,1.459966,240
4997,389,2.041617,1.438919,225
5063,407,1.936257,51.734205,249
4952,415,1.928075,49.595895,223
4863,389,1.908446,49.156946,256
4840,413,1.935885,49.978855,242
4856,371,1.957008,49.590080,249
4899,396,1.883540,48.353502,241
4870,407,2.021686,49.060841,306
4868,393,1.993161,49.358042,316
4996,386,2.005434,49.274450,290
4997,389,1.984157,48.748430,302
5063,407,1.956371,45.968042,277
4952,415,1.926663,46.363405,314
4863,389,1.976147,47.921838,306
4840,413,1.836412,52.986988,295
4856,371,1.922796,48.651223,297
4899,396,1.954367,51.695519,0
4870,407,2.269690,50.420650,0
4868,393,1.962218,51.732073,0
4996,386,1.948498,45.554594,54
4997,389,2.002042,48.949450,56
