All KeypointsHARRIS,Preceding Vehicle Keypoints,Detection Time,Extraction Time,# Matches
454,65,19.323306,2.026457,42
388,58,16.171466,0.915946,34
471,77,20.311069,2.211044,35
511,84,17.740971,1.199250,47
752,113,15.783251,2.402653,39
453070,25055,69.608379,253.596654,588
248,46,14.536041,0.802879,27
1255,186,12.536134,2.268008,113
798,123,14.101777,1.605535,65
3161,343,14.773384,3.958199,41
454,65,12.829575,3.255548,34
388,58,12.781719,0.419643,45
471,77,11.158612,0.519871,37
511,84,13.182205,0.570163,34
752,113,12.890554,0.593698,2158
453070,25055,65.017433,77.710587,23
248,46,12.424866,0.463175,115
1255,186,16.759800,0.866330,69
798,123,13.517947,0.664658,41
3161,343,11.764513,2.065379,33
454,65,12.801712,2.283040,40
388,58,12.694020,0.860353,39
471,77,11.909241,0.918078,30
511,84,14.493543,0.945947,942
752,113,11.374508,0.979450,23
453070,25055,65.949004,38.325085,114
248,46,14.071540,0.898568,71
1255,186,11.895718,1.778544,41
798,123,16.375247,1.020292,39
3161,343,11.802656,2.109674,47
454,65,13.746352,47.301806,50
388,58,11.928954,51.156517,45
471,77,12.817405,47.766652,916
511,84,12.690037,49.100011,26
752,113,14.839236,47.462629,119
453070,25055,66.170603,215.600167,68
248,46,11.778351,47.357037,42
1255,186,17.731500,50.142642,40
798,123,11.813169,48.407974,39
3161,343,13.013291,49.791875,45
454,65,12.908818,24.894693,33
388,58,12.121899,13.529691,559
471,77,11.180705,14.440330,30
511,84,13.634099,19.857021,118
752,113,11.576152,15.695740,63
453070,25055,66.031148,198.314813,0
248,46,14.252654,17.178903,0
1255,186,17.102602,16.284141,0
798,123,11.498896,15.127720,101582094
3161,343,12.538188,16.862444,135137038
