All KeypointsORB,Preceding Vehicle Keypoints,Detection Time,Extraction Time,# Matches
7510,822,19.380471,9.970895,595
7390,803,14.495192,9.387891,587
7336,787,14.015757,8.847291,564
7416,814,13.988079,8.758356,600
7479,780,13.864088,8.435247,576
7412,806,13.674700,8.813670,608
7380,805,13.704413,8.798503,523
7355,801,13.759307,8.735969,538
7370,759,14.034965,8.204099,528
7364,750,13.773809,8.106927,397
7510,822,14.348461,3.141377,402
7390,803,13.215932,3.305219,345
7336,787,13.630712,3.061924,362
7416,814,13.776323,3.120280,345
7479,780,14.042087,3.037731,437
7412,806,15.002308,3.051952,412
7380,805,13.573215,3.135094,411
7355,801,13.519710,3.394757,410
7370,759,13.830066,2.919578,536
7364,750,13.842995,4.214085,565
7510,822,13.735154,5.959480,505
7390,803,13.522608,6.243146,557
7336,787,13.375853,5.823249,536
7416,814,14.341303,6.991183,598
7479,780,14.094053,6.701555,551
7412,806,13.690433,6.085491,554
7380,805,13.470722,5.959094,551
7355,801,13.513472,6.086357,360
7370,759,15.334468,6.020805,350
7364,750,14.009792,6.002353,333
7510,822,14.003049,52.730761,350
7390,803,14.056904,50.517017,344
7336,787,13.843001,51.455025,339
7416,814,14.712207,50.809348,323
7479,780,13.231004,52.180784,332
7412,806,14.471020,50.549120,332
7380,805,13.069073,53.485016,582
7355,801,14.299722,52.501005,577
7370,759,15.472485,51.763486,568
7364,750,15.240284,53.265607,580
7510,822,15.110669,437.734513,558
7390,803,14.187496,422.649929,584
7336,787,14.076660,412.921664,556
7416,814,14.134144,423.857458,564
7479,780,14.315184,394.763670,566
7412,806,13.729303,423.068547,0
7380,805,13.895279,435.471923,0
7355,801,14.671128,422.993966,0
7370,759,15.006959,396.755667,0
7364,750,14.372280,398.263399,0
