All KeypointsSHITOMASI,Preceding Vehicle Keypoints,Detection Time,Extraction Time,# Matches
1370,122,41.821028,3.556537,94
1301,117,17.091611,3.515642,88
1361,122,17.348544,2.592210,78
1358,117,18.987447,2.556552,87
1333,115,18.517988,2.547319,83
1284,112,17.063606,2.436456,78
1322,112,18.335885,2.424619,83
1366,120,17.559161,2.596421,86
1389,111,16.455884,2.470940,79
1339,108,18.471800,2.468772,112
1370,122,17.059150,4.538403,111
1301,117,16.440598,1.768320,102
1361,122,16.822367,1.737749,100
1358,117,16.470927,1.700349,99
1333,115,15.941528,2.198398,99
1284,112,16.534318,1.693427,98
1322,112,15.276566,1.636933,108
1366,120,17.649998,2.070313,99
1389,111,16.503415,1.664124,104
1339,108,15.435009,2.042720,102
1370,122,16.438217,2.930655,96
1301,117,16.847691,1.047914,100
1361,122,16.056417,1.274046,102
1358,117,15.123950,1.233530,94
1333,115,16.884939,0.931709,96
1284,112,16.272668,0.968263,103
1322,112,16.209448,1.496356,94
1366,120,15.555208,0.964901,86
1389,111,15.245356,1.194537,90
1339,108,15.543928,1.237386,83
1370,122,16.283056,51.919359,87
1301,117,16.586765,46.804392,85
1361,122,12.690787,47.219740,79
1358,117,12.530625,49.015766,80
1333,115,12.868760,46.981022,86
1284,112,12.654577,48.830438,82
1322,112,12.888144,46.982525,110
1366,120,12.841287,49.584886,108
1389,111,12.510156,47.197581,102
1339,108,12.494076,47.396883,101
1370,122,12.769839,21.123244,98
1301,117,17.159152,18.781186,98
1361,122,18.803996,22.585628,93
1358,117,13.769968,18.405449,105
1333,115,16.946168,18.582717,95
1284,112,10.829441,17.192715,0
1322,112,11.598135,17.764644,21962816
1366,120,11.580325,17.573459,0
1389,111,16.958294,16.759830,64
1339,108,11.701501,19.480915,0
