All KeypointsSIFT,Preceding Vehicle Keypoints,Detection Time,Extraction Time,# Matches
1438,137,157.968139,1.711943,63
1371,131,135.920415,1.736913,64
1380,121,135.594516,1.587154,60
1335,135,135.087161,1.554511,65
1305,134,132.880038,1.831892,59
1370,139,135.844082,1.777529,65
1396,136,136.417404,1.625992,64
1382,147,134.749855,1.853682,67
1463,156,137.258586,1.947492,79
1422,135,137.065756,1.720854,86
1438,137,162.911469,0.801248,76
1371,131,160.706598,0.745414,72
1380,121,156.576286,0.742491,83
1335,135,157.291142,0.798656,69
1305,134,157.358860,0.764315,75
1370,139,164.666542,0.793947,76
1396,136,158.431523,0.829099,69
1382,147,158.293851,0.784310,87
1463,156,157.016296,0.828764,64
1422,135,158.970292,0.804465,70
1438,137,159.980458,49.103429,62
1371,131,159.763454,49.138883,65
1380,121,163.227472,49.316942,59
1335,135,163.897995,49.280595,60
1305,134,162.481889,49.933873,64
1370,139,161.070841,49.453772,65
1396,136,165.035824,49.187732,79
1382,147,161.921174,49.487600,81
1463,156,162.938228,49.881171,79
1422,135,163.873546,49.397819,83
1438,137,160.729620,88.429457,92
1371,131,128.732667,93.051679,90
1380,121,162.784672,89.754990,82
1335,135,124.464053,86.348284,82
1305,134,128.141699,94.186768,100
1370,139,129.970321,95.008115,101
1396,136,130.450307,96.583920,0
1382,147,129.806832,93.748548,0
1463,156,130.452914,98.366336,0
1422,135,130.861058,93.675877,0
